StartingAddress	NumberOfRegisters	Functions	Type	Parameter	ID	Name	Index	Unit/ValueTable	Values	Min	Max	UserLevel	ExpertLevel
9455	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 12	1/10°C				read	read
9456	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 12	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9457	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 13	1/10°C				read	read
9458	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 13	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
9459	1	04	s16	BOI.i_ist_temperatur_2.value	1403	Temperature 2 (value)	DHWC 14	1/10°C				read	read
9460	1	04	s16	BOI.i_ist_temperatur_2.status	1403	Temperature 2 (status)	DHWC 14	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
24693	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 1	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24694	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 2	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24695	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 3	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24696	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 4	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24697	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 5	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24698	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 6	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24699	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 7	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24700	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 8	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24701	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 9	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24702	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 10	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24703	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 11	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24704	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 12	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24705	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 13	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24706	1	03, 06, 16	s16	BOI.programm	492	Select program	DHWC 14	boiler_programm_t	0-Time, 1-Temp., 2-Off			readwrite	readwrite
24711	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 1	1/10°C		0	700	readwrite	readwrite
24712	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 1	1/10°C		0	700	readwrite	readwrite
24713	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 2	1/10°C		0	700	readwrite	readwrite
24714	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 2	1/10°C		0	700	readwrite	readwrite
24715	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 3	1/10°C		0	700	readwrite	readwrite
24716	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 3	1/10°C		0	700	readwrite	readwrite
24717	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 4	1/10°C		0	700	readwrite	readwrite
24718	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 4	1/10°C		0	700	readwrite	readwrite
24719	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 5	1/10°C		0	700	readwrite	readwrite
24720	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 5	1/10°C		0	700	readwrite	readwrite
24721	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 6	1/10°C		0	700	readwrite	readwrite
24722	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 6	1/10°C		0	700	readwrite	readwrite
24723	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 7	1/10°C		0	700	readwrite	readwrite
24724	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 7	1/10°C		0	700	readwrite	readwrite
24725	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 8	1/10°C		0	700	readwrite	readwrite
24726	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 8	1/10°C		0	700	readwrite	readwrite
24727	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 9	1/10°C		0	700	readwrite	readwrite
24728	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 9	1/10°C		0	700	readwrite	readwrite
24729	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 10	1/10°C		0	700	readwrite	readwrite
24730	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 10	1/10°C		0	700	readwrite	readwrite
24731	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 11	1/10°C		0	700	readwrite	readwrite
24732	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 11	1/10°C		0	700	readwrite	readwrite
24733	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 12	1/10°C		0	700	readwrite	readwrite
24734	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 12	1/10°C		0	700	readwrite	readwrite
24735	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 13	1/10°C		0	700	readwrite	readwrite
24736	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 13	1/10°C		0	700	readwrite	readwrite
24737	1	03, 06, 16	s16	BOI.temperatur_grenzen.min	981	Temp. min/max (min)	DHWC 14	1/10°C		0	700	readwrite	readwrite
24738	1	03, 06, 16	s16	BOI.temperatur_grenzen.max	981	Temp. min/max (max)	DHWC 14	1/10°C		0	700	readwrite	readwrite
24744	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 1	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24745	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 2	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24746	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 3	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24747	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 4	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24748	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 5	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24749	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 6	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24750	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 7	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24751	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 8	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24752	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 9	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24753	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 10	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24754	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 11	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24755	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 12	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24756	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 13	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
24757	1	03, 06, 16	s16	BOI.schnellladung	493	Heat DHW 1x	DHWC 14	system_ein_aus_t	0-Off, 1-On			readwrite	readwrite
